#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
5000,-911102.3067375077,182291.25800707203,-728811.0487304357,298.8570149766805,825.9079511229094,0
10000,-920830.8039419753,181233.62570287602,-739597.1782390993,297.1230819464818,805.2239024585972,78.3
15000,-922019.4297081474,182274.8921807437,-739744.5375274038,298.8301840575372,791.9927968280729,77.1
20000,-922315.3854601039,180894.32542482702,-741421.0600352768,296.56681682775326,777.4201669702222,75.9
25000,-925372.5864784364,182517.1903828863,-742855.39609555,299.22741932936657,764.6126872935423,74.7
30000,-925129.2255981658,182256.05637737666,-742873.1692207891,298.7993037397946,753.0310891624125,73.6
35000,-927007.3552088346,182218.51168361033,-744788.8435252244,298.7377511715042,741.1359298626713,72.8
40000,-928123.0005559614,181517.22103934598,-746605.7795166154,297.58802171729315,733.1627369695815,72.6
45000,-929829.5651569739,181079.9169332772,-748749.6482236967,296.8710844312951,723.7014314728677,72.4
50000,-931826.9894087249,182159.29899022763,-749667.6904184973,298.6406750473579,713.2406463301443,71.9
55000,-933024.2963574026,180220.29143260058,-752804.004924802,295.46177323371654,710.3672899055952,71.8
60000,-934901.811764068,182074.40210036043,-752827.4096637075,298.5014910219477,708.0894946966779,71.4
65000,-934576.1012990642,181269.54469745478,-753306.5566016095,297.181969265699,708.5449325097695,71.3
70000,-934216.0061524017,182842.7580384144,-751373.2481139873,299.76117052932983,708.2391795576472,71.2
75000,-936548.6772894925,182443.676158422,-754105.0011310704,299.1068965905259,708.3922268305375,71.1
80000,-934733.8612369038,181711.41990854498,-753022.4413283588,297.9064006400959,707.5866461099066,71.1
85000,-935782.3354860842,182344.03817908082,-753438.2973070034,298.9435453173504,707.3072661106133,71
90000,-934568.5565730501,182557.39803701825,-752011.1585360318,299.29333768236086,706.3578032543422,71
95000,-933264.8030560259,183686.3697680469,-749578.433287979,301.1442279840515,705.4776684876626,71
100000,-935212.082408119,181687.2189377938,-753524.8634703252,297.86672441010387,705.9664147696669,70.8
