#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
3333,-920247.1734273089,179377.9018937844,-740869.2715335245,295.61193868841445,703.4497114069598,0
6666,-921324.3309315238,179814.5826380552,-741509.7482934686,296.3315816323833,703.3226561662041,94.1
9999,-920902.4982759058,180153.14698968868,-740749.3512862171,296.8895303167002,702.2859080040356,94.6
13332,-919788.3344003214,179771.1596976605,-740017.1747026609,296.2600213149857,705.3225538698172,92.1
16665,-922915.8652449381,181572.49682711798,-741343.3684178201,299.2285963481894,701.2592219733185,92.6
19998,-920071.2765459307,180923.7430845647,-739147.533461366,298.1594604649907,702.8057248788815,92.7
23331,-920024.9218244664,181153.54412361153,-738871.3777008549,298.5381689343621,701.1469965822242,92.6
26664,-920449.3976766849,181203.73209539743,-739245.6655812875,298.62087791624805,702.0209134888111,92.9
29997,-920928.9504737156,181773.16946403633,-739155.7810096792,299.55930167261823,700.9344027939642,92.5
33330,-920260.617748593,179553.65597849543,-740706.9617700975,295.90157863383314,700.5984881943016,92.5
36663,-920153.553570006,181080.7557903223,-739072.7977796837,298.4182149149965,703.8167625392022,92.6
39996,-922471.2554611387,181953.26346744737,-740517.9919936913,299.8560937352549,699.7816526735724,92.3
43329,-921269.5460862657,181247.00173431123,-740022.5443519545,298.6921855952353,701.3384348621814,92.2
46662,-919984.6483817548,179692.55778389913,-740292.0905978556,296.1304866071632,701.6375037482462,92.2
49995,-920827.4437657883,181061.2883726225,-739766.1553931658,298.3861329192393,702.3633081025001,91.4
53328,-920459.7066070251,181262.08282247966,-739197.6237845455,298.71703898946015,702.6408215474409,91.4
56661,-920160.3779427186,181286.2691713164,-738874.1087714022,298.75689770892313,699.3146267165326,91.2
59994,-921214.3404713217,180204.2458022351,-741010.0946690866,296.97374034972006,700.8106875543724,91.2
63327,-920220.8156699724,180536.14875611226,-739684.6669138602,297.520711156136,701.161764591427,90.8
66660,-921059.8277910296,180483.68014839385,-740576.1476426357,297.43424372238763,703.1481642770916,91
69993,-921176.14365937,180129.96452873183,-741046.1791306383,296.851325988549,701.5685134768257,91
73326,-921813.6690144744,180025.1808531118,-741788.4881613626,296.67864415223625,702.5413062231414,90.9
76659,-922436.0213198382,181045.29386045292,-741390.7274593853,298.35977421674073,702.1431533839916,91
79992,-921873.6420263238,180881.08302532387,-740992.5590009999,298.08915736364094,701.7777270015672,91.1
83325,-920745.6464715665,180777.68266288773,-739967.9638086788,297.918755205526,700.3862166165494,91
86658,-919859.2047866937,180547.82798316854,-739311.3768035251,297.53995833717687,703.0254848804599,91
89991,-919557.71061025,180403.2368321524,-739154.4737780977,297.3016744124693,704.4611774482265,91.1
93324,-921380.2965755956,180790.3040362568,-740589.9925393388,297.9395550287548,700.0185397341443,91.1
96657,-921905.4277727781,180916.28493905434,-740989.1428337237,298.14716955942174,699.2385445764892,91
99990,-921438.7179384893,180605.2251329801,-740833.4928055091,297.6345479301639,701.5929891682877,91.2
103323,-920391.8689345624,180522.97478533193,-739868.8941492306,297.49900066113366,699.3504724272308,91.1
106656,-919574.4227191173,181660.5087611316,-737913.9139579856,299.37363862021294,703.3798023153963,91
109989,-922360.439829276,180728.96715730813,-741631.4726719678,297.8384728246054,701.0749416715302,91.1
113322,-921925.3648426747,181255.3328978779,-740670.0319447968,298.70591522072135,702.0254926205226,91.1
116655,-920976.393581571,180972.6900469928,-740003.7035345782,298.24012428312835,703.1389596173872,91.1
119988,-922147.5103823673,180653.40202394873,-741494.1083584186,297.7139426827441,701.3086080150102,91.2
123321,-920209.00145943,180550.14259543718,-739658.8588639928,297.5437727815027,700.4757644040119,91.2
126654,-921749.0962308496,180946.82111524692,-740802.2751156026,298.1974926937048,701.958362732514,91.2
129987,-921463.4670237135,179634.402223585,-741829.0648001286,296.03464716569096,701.3842404409119,91.3
133320,-919113.8838408738,180208.47282515373,-738905.4110157201,296.9807064164801,701.2218462394451,91.3
136653,-920362.9333771756,181987.70472423296,-738375.2286529427,299.912852380449,702.08567167165,91.3
139986,-920563.9591771569,181059.36649269215,-739504.5926844648,298.38296569158115,702.8500876285624,91.3
143319,-922685.3992967308,181055.39269756246,-741630.0065991683,298.37641694020294,701.2544833685142,91.3
146652,-922713.7201969298,180347.74395011397,-742365.9762468158,297.2102230225846,701.209830444612,91.3
149985,-921080.6051828684,182106.48348625787,-738974.1216966106,300.10859789729636,704.4408752096181,91.3
153318,-920479.1462896839,181353.32266595474,-739125.8236237292,298.8674008051049,701.9862430967593,91.3
156651,-920822.0317740543,180656.1420383025,-740165.8897357518,297.7184581829623,702.0719467675507,91.3
159984,-922774.2432918688,181369.85766436157,-741404.3856275072,298.89465022035427,702.1819434107747,91.3
163317,-921170.9554223856,181471.9194726483,-739699.0359497373,299.06284646245075,701.7340531055429,91.3
166650,-920614.9158068011,179987.04770898286,-740627.8680978182,296.6158013352269,702.1578738930255,91.3
