#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
5000,-899436.3110843068,182235.8507841571,-717200.4603001496,300.3217931534072,817.7878745108517,0
10000,-905982.0665506972,179244.17174151936,-726737.8948091778,295.391553517472,799.2446717379094,76.7
15000,-909519.0703810444,180939.02644217247,-728580.0439388719,298.1846471960451,780.7039124200928,76.1
20000,-912328.7210308649,179995.48094421136,-732333.2400866535,296.6296991731935,769.4588431526008,75.5
25000,-914366.9556452809,179602.72229812044,-734764.2333471605,295.9824391507392,755.842508256853,75
30000,-915330.6103547439,179982.374234437,-735348.2361203069,296.60809952326275,743.0245028953901,74.4
35000,-916517.5672428971,180671.13872234258,-735846.4285205546,297.74317248052176,732.6331457626344,73.9
40000,-915704.162361145,181424.90208146957,-734279.2602796755,298.98536254714304,722.4341577226102,73.5
45000,-919708.8028284479,180356.95615778415,-739351.8466706637,297.22540459478626,714.8870227308214,73.2
50000,-920785.0644128732,180725.59839302057,-740059.4660198527,297.8329211544637,706.0652282554709,72.5
55000,-921074.712064133,181244.4760496787,-739830.2360144544,298.6880233069999,703.5143222186133,71.7
60000,-920717.9225834059,180163.44127798278,-740554.4813054231,296.9064951406161,702.1569284455807,71.2
65000,-924566.765817835,179911.30415117566,-744655.4616666593,296.49097715270403,702.5277860556636,71
70000,-922011.0729123997,180777.94480372,-741233.1281086797,297.91918720946194,701.8222033074833,70.8
75000,-923602.0431275414,181452.7652540442,-742149.2778734972,299.03128061383813,699.9150323902736,70.6
80000,-924695.0213692449,181084.45594356867,-743610.5654256763,298.4243127088889,700.334179654636,70.4
85000,-922819.847596392,181685.7744413683,-741134.0731550237,299.4152760607125,699.2150487636136,70.2
90000,-923749.2762656324,180173.29079883694,-743575.9854667954,296.9227269948418,700.5764712539667,70
95000,-922360.7122657392,180733.63692246447,-741627.0753432747,297.84616852355447,700.4464953993338,69.9
100000,-919728.1293841405,181463.1768772346,-738264.9525069059,299.0484388038031,701.0138108294624,69.5
