#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
3333,-1450105.0926147941,275441.3431763606,-1174663.7494384334,297.0333321672973,1086.5821419201934,0
6666,-1449363.627523262,277385.40949402435,-1171978.2180292378,299.1297948465406,1090.3817662842005,61.4
9999,-1447785.5626765434,276496.8904932038,-1171288.6721833395,298.1716243828615,1091.215633010829,60.5
13332,-1448334.7291408898,276082.2637779141,-1172252.4653629758,297.7244948654556,1088.0507160747654,60.8
16665,-1452071.148293469,275148.5705605792,-1176922.57773289,296.7176089551243,1087.690160779243,60.2
19998,-1449010.4063550718,277143.59964786354,-1171866.8067072083,298.86902940179027,1090.3400181445083,59.8
23331,-1450474.8819530103,276748.54505473294,-1173726.3368982775,298.44300627529674,1090.9428824998765,59.8
26664,-1452358.7295879992,276457.7416449947,-1175900.9879430044,298.12940663624454,1089.319403800725,59.6
29997,-1450941.2328304965,277487.0670548243,-1173454.165775672,299.23942139597654,1088.5722356956637,59.9
33330,-1452621.7932952605,275618.3869255756,-1177003.406369685,297.2242544673497,1088.4140009350542,59.9
36663,-1451052.6685580723,276505.7248289418,-1174546.9437291306,298.1811512467356,1090.6002622319477,60.1
39996,-1452151.9978595953,276647.62576370593,-1175504.3720958894,298.33417586898213,1089.8025651656758,60.1
43329,-1448517.307190218,276253.84393277724,-1172263.4632574408,297.9095252771761,1090.2051622956278,60.3
46662,-1449243.7225204948,277929.70003945066,-1171314.0224810443,299.7167526086207,1091.116691782545,60.3
49995,-1452016.2699028654,275771.5614256344,-1176244.708477231,297.3894363954903,1088.0446388492558,60.4
53328,-1449807.1038866732,276277.2143692842,-1173529.889517389,297.93472773425765,1089.26347174945,60.4
56661,-1450216.6293715658,278207.10870304273,-1172009.520668523,300.015907480466,1088.5876755405554,60.5
59994,-1451496.8757007439,274566.29395104497,-1176930.5817496988,296.08968738177407,1088.8494538179334,60.5
63327,-1451533.0122653414,277150.5728896055,-1174382.4393757358,298.87654927954986,1088.1576065450463,60.4
66660,-1450905.6292630285,277201.45866216527,-1173704.1706008632,298.93142401407243,1089.4838603934627,60.5
69993,-1451048.562618549,277492.36496710224,-1173556.1976514468,299.24513461433105,1089.1949305422593,60.5
73326,-1449839.2361781169,276490.33799472766,-1173348.898183389,298.1645582306494,1090.365497537571,60.6
76659,-1451139.3323598793,276323.6159705364,-1174815.716389343,297.98476678097046,1091.4751730164778,60.5
79992,-1447203.3634779938,276102.70266360044,-1171100.6608143933,297.74653596593527,1089.5235925595593,60.6
83325,-1450996.9387333998,276673.4831436351,-1174323.4555897648,298.36206022226366,1090.0358165021928,60.6
86658,-1447144.326566713,275489.106863006,-1171655.219703707,297.08484007398005,1092.9784231459853,60.6
89991,-1452017.0491799554,276433.448185244,-1175583.6009947113,298.10320879965104,1087.0348563316288,60.6
93324,-1450616.8622771427,274844.0526857473,-1175772.8095913953,296.3892197669845,1089.8976387165965,60.7
96657,-1452747.6050103093,277535.9807547209,-1175211.6242555883,299.2921694660424,1087.6966096877543,60.6
99990,-1452422.6987939319,277189.1369852558,-1175233.561808676,298.91813643455333,1089.3240056633188,60.6
103323,-1451436.721257897,277066.09866193926,-1174370.622595958,298.7854530735969,1090.8920281420303,60.5
106656,-1452322.1663172087,277353.221449347,-1174968.9448678617,299.09508356443524,1089.030057264639,60.4
