#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
5000,-2000574.355186496,381773.22793259437,-1618801.1272539017,298.02051122501786,1687.5474344155652,0
10000,-2009627.6358490065,383182.7250261506,-1626444.9108228558,299.1207954085541,1641.639056005119,32.1
15000,-2020156.088018937,382203.8946506701,-1637952.1933682668,298.35669906140333,1592.618811708538,31.2
20000,-2027060.8815656118,380766.5658395621,-1646294.3157260497,297.2346888319157,1569.9713303224773,30.2
25000,-2028200.4758588765,383425.9378840404,-1644774.537974836,299.31065267182356,1553.4449369769252,29.4
30000,-2031328.908718422,383501.7510227785,-1647827.1576956436,299.3698340620081,1538.0890436219981,29.2
35000,-2031237.9932433087,381251.17741558515,-1649986.8158277236,297.61298720137984,1527.4195610826175,29
40000,-2033695.4842664786,381588.992321767,-1652106.4919447117,297.8766928875667,1523.404040087942,28.8
45000,-2035700.4005813394,381811.5937910042,-1653888.806790335,298.0504604511562,1519.4994034119306,28.7
50000,-2037137.1225630417,380385.65332558105,-1656751.4692374608,296.93734021278027,1515.3339839548487,28.5
55000,-2036441.6194144767,381896.6997039098,-1654544.9197105668,298.116895983605,1516.9684865428985,28.4
60000,-2035797.4725150317,381298.42064146145,-1654499.0518735703,297.6498662942482,1515.9793943621828,28.4
65000,-2035526.1488005016,382297.2190770939,-1653228.9297234076,298.4295501448153,1519.3043213512371,28.3
70000,-2038092.105612032,381866.588818822,-1656225.51679321,298.0933907697483,1517.8279580637238,28.3
75000,-2037326.11666823,380997.22271950345,-1656328.8939487264,297.4147446248532,1513.781965831402,28.3
80000,-2034414.105153164,380178.66767578974,-1654235.4374773742,296.7757626985552,1515.6476604245365,28.2
85000,-2035091.6667340416,381399.7666600344,-1653691.9000740072,297.7289792075064,1517.896410619287,28.2
90000,-2034604.829983592,383104.5271032268,-1651500.3028803652,299.05975240380315,1512.5863111658064,28.2
95000,-2037243.455460187,383600.90195580653,-1653642.5535043804,299.4472334435977,1513.8845488307663,28.1
100000,-2035735.045656249,381549.8665195784,-1654185.1791366707,297.84615043273436,1516.357071300871,28.1
