#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
3333,-915527.5631693695,180060.84431768884,-735466.7188516806,298.323428365764,696.9910149833128,0
6666,-914414.7501426823,179337.9405610846,-735076.8095815978,297.12572695618843,699.124473753669,101
9999,-915533.2508716881,179817.17819298862,-735716.0726786995,297.9197241958063,696.9996681120407,100
13332,-916233.4719006456,180056.9813641147,-736176.490536531,298.3170282538562,698.6396334717817,102
16665,-913861.5975203533,179167.93605606898,-734693.6614642843,296.8440647937896,697.1251674844176,102
19998,-915061.0840707785,180229.07761511987,-734832.0064556586,298.6021560049967,698.7635572789146,101
23331,-913983.6955733718,179714.28748726824,-734269.4080861036,297.7492556622737,699.2019831794464,101
26664,-914678.1495470945,179440.8518066115,-735237.297740483,297.29622951991524,699.7679968976169,101
29997,-915153.6091959868,179110.41537102993,-736043.1938249569,296.7487649631805,698.7949524107793,100
33330,-915262.2637821399,180058.57158501312,-735203.6921971268,298.31966291966637,698.8431816892144,100
36663,-915346.1773631731,179013.68039253599,-736332.4969706371,296.58849519139005,697.8095015312651,99.5
39996,-917567.9025152102,180765.7500003194,-736802.1525148908,299.4913107041687,697.5694009531736,99.3
43329,-916816.3046083739,179142.84580708362,-737673.4588012903,296.8024954613552,695.6405705228764,99.4
46662,-916479.4202946043,180793.73845656577,-735685.6818380385,299.5376817642052,696.0398739664982,99.2
49995,-915192.7000797996,179721.33072145307,-735471.3693583466,297.7609248387499,697.5280036692048,99.1
53328,-914509.825559644,179766.397645658,-734743.427913986,297.83559137375175,698.171924144469,99
56661,-913915.8561871396,180376.50244749442,-733539.3537396452,298.846408338628,697.8890322226819,99
59994,-915725.2254173178,180257.213717488,-735468.0116998298,298.6487716839973,698.3950056919759,98.9
63327,-913142.2014320642,180160.42164511472,-732981.7797869495,298.4884073195047,697.0759944111313,99
66660,-916159.635958977,181061.75176674454,-735097.8841922325,299.981724164668,695.560144008124,98.9
69993,-915421.2290974641,180425.35872295953,-734995.8703745046,298.92735304178746,697.7674952910535,98.9
73326,-913036.2520859772,181228.43796227995,-731807.8141236973,300.2578885773242,700.0687856759134,98.9
